,Former Atlanta Falcons player Justin Crawford has been charged with aggravated child molestation and sodomy https://t.co/Acx34d7D4T,Tue Oct 16 11:16:31 +0000 2018,34280715,False,False.1,0,Unnamed: 6,Unnamed: 7,Unnamed: 8,[],[].1,Unnamed: 11,"Watch FOX 17 News Nashville at 5:30 p.m., 9 p.m. and 10 p.m. and FOX 17 This Morning weekdays from 4 a.m.–9 a.m.",7627,73860,Unnamed: 15,3988,en,919,"Nashville, TN",149323,[].2
988,"#Abracadabra #OpenSesame #10X
On Hard📈
A'mor Shanee' 
#AmorShanee
#Detroit #LosAngeles #NewOrleans #Dallas #Chicago… https://t.co/tG31raZV1Y",Tue Oct 16 11:14:03 +0000 2018,507432009,True,False,0,,,,"[{'text': 'Abracadabra', 'indices': [0, 12]}, {'text': 'OpenSesame', 'indices': [13, 24]}, {'text': '10X', 'indices': [25, 29]}, {'text': 'AmorShanee', 'indices': [54, 65]}, {'text': 'Detroit', 'indices': [66, 74]}, {'text': 'LosAngeles', 'indices': [75, 86]}, {'text': 'NewOrleans', 'indices': [87, 98]}, {'text': 'Dallas', 'indices': [99, 106]}, {'text': 'Chicago', 'indices': [107, 115]}]",[],,"New Ep ""Moon Shine"" now available! https://t.co/NuPuBKqZ7n",2249,5810,,3620,en,13,"Detroit, MI",29344,"['Abracadabra', 'OpenSesame', '10X', 'AmorShanee', 'Detroit', 'LosAngeles', 'NewOrleans', 'Dallas', 'Chicago']"
1033,"RT @MarilynRMarks1: GA SOS and St. Elex. Bd claims that voting machines are secured by ""robust physical security."" Uh-huh. See how this rep…",Tue Oct 16 11:13:57 +0000 2018,1561663512,False,False,70,3081301976.0,"GA SOS and St. Elex. Bd claims that voting machines are secured by ""robust physical security."" Uh-huh. See how this… https://t.co/BmQJxRUSMN",True,[],"[{'screen_name': 'MarilynRMarks1', 'name': 'Marilyn Marks', 'id': 3081301976, 'id_str': '3081301976', 'indices': [3, 18]}]",,"New Englander via New Yorker.         Family, Environment, Human Rights...and The Yankees..⚾️",3842,83,,387,en,0,"Warwick, RI",3876,[]
1079,"Houston is a major center for human trafficking, but Atlanta is the American capital",Tue Oct 16 11:13:54 +0000 2018,152352320,False,False,0,,,,[],[],,Don’t worry about it. You will be alright.,8037,0,,14,en,0,Texas,6403,[]
1126,"RT @Oluwa_lh: Yung Denzl ( @MI_Abaga )
BadboyBlaq (@BlaqBonez )
Zoo ( @russdiemon) 
Runaway (@passengermusic )
TAP (@LadiPoe )
Free Lunch…",Tue Oct 16 11:13:51 +0000 2018,2962351601,False,False,7,230160417.0,"Yung Denzl ( @MI_Abaga )
BadboyBlaq (@BlaqBonez )
Zoo ( @russdiemon) 
Runaway (@passengermusic )
TAP (@LadiPoe )
Fr… https://t.co/5l7KjOgyEd",True,[],"[{'screen_name': 'Oluwa_lh', 'name': '#ICON', 'id': 230160417, 'id_str': '230160417', 'indices': [3, 12]}, {'screen_name': 'MI_Abaga', 'name': 'Yung denzL', 'id': 50246444, 'id_str': '50246444', 'indices': [27, 36]}, {'screen_name': 'BlaqBonez', 'name': 'Bad Boy Blaq SZN ☠️', 'id': 148927584, 'id_str': '148927584', 'indices': [51, 61]}, {'screen_name': 'russdiemon', 'name': 'Russ', 'id': 235833507, 'id_str': '235833507', 'indices': [70, 81]}, {'screen_name': 'passengermusic', 'name': 'Passenger', 'id': 146212505, 'id_str': '146212505', 'indices': [93, 108]}, {'screen_name': 'LadiPoe', 'name': 'POE [#TAP Out Now]', 'id': 312670274, 'id_str': '312670274', 'indices': [116, 124]}]",,"Singer...songwriter... party animal.. Music enthusiast.. Love crazy girls too.. Lover of Arts...
GBEDU EMPIRE.....",7195,269,,324,en,4,Lagos,5430,[]
1174,RT @AP: Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a woman resembling…,Tue Oct 16 11:13:49 +0000 2018,831181128,False,False,199,51241574.0,Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a… https://t.co/8OrMoGfmv2,True,[],"[{'screen_name': 'AP', 'name': 'The Associated Press', 'id': 51241574, 'id_str': '51241574', 'indices': [3, 6]}]",,"Business owner & strategist, Entrepreneur and Believer. Supporter of worldwide faith based missions and orphanages. Go to https://t.co/TLrNhemSt6 and donate!",5497,73,,62,en,4,,3725,[]
1223,"Officers say man fired shots at patrol car, suspect on the run https://t.co/JP7tmNPEZd https://t.co/BSeWuTNGxE",Tue Oct 16 11:13:47 +0000 2018,207159317,False,False,0,,,,[],[],,"I'm A True Believer Of The Second Amendment. Want Gun Control, Hold The Gun With Both Hands And AIM. I BULLET AM SORRY.",0,1196,,277,en,19,,34630,[]
1273,Puffy upper lids https://t.co/gEsD91cBkm,Tue Oct 16 11:13:46 +0000 2018,23783597,False,False,0,,,,[],[],,"Dr. Brueck has over 33 years of experience in performing facelift, rhinoplasty, breast augmentations, tummy tuck, and liposuction procedures.",0,216,,289,en,8,"Fort Myers, FL",2431,[]
1324,RT @carmenmmachado: I can *finally* say something! HER BODY AND OTHER PARTIES is officially in development over at @FXNetworks. FX has made…,Tue Oct 16 11:13:37 +0000 2018,214500275,False,False,322,14140714.0,I can *finally* say something! HER BODY AND OTHER PARTIES is officially in development over at @FXNetworks. FX has… https://t.co/eXTfhdPOsR,True,[],"[{'screen_name': 'carmenmmachado', 'name': 'Carnage ""The Hatchet"" Machado', 'id': 14140714, 'id_str': '14140714', 'indices': [3, 18]}, {'screen_name': 'FXNetworks', 'name': 'FXNetworks', 'id': 16421962, 'id_str': '16421962', 'indices': [115, 126]}]",,"I write mystery/SFF (@angryrobotbooks). They've got red on them | Repped by @StaciaDecker/@Team_Decker | Sundance semifinalist | Vámanos, comrades | Visca Barça",2007,992,,582,en,43,"Baltimore, MD",5825,[]
1376,RT @CigarGrams: More New user features announced today at https://t.co/uYUc7j607w #freemembership #cigar #cigars #cigarsocialmedia #cigarde…,Tue Oct 16 11:13:26 +0000 2018,862302614301675522,False,False,1,8.884907146608394e+17,More New user features announced today at https://t.co/uYUc7j607w #freemembership #cigar #cigars #cigarsocialmedia… https://t.co/A2jZCofkAP,True,"[{'text': 'freemembership', 'indices': [82, 97]}, {'text': 'cigar', 'indices': [98, 104]}, {'text': 'cigars', 'indices': [105, 112]}, {'text': 'cigarsocialmedia', 'indices': [113, 130]}]","[{'screen_name': 'CigarGrams', 'name': 'Cigar Social media Cigargrams.com', 'id': 888490714660839424, 'id_str': '888490714660839424', 'indices': [3, 14]}]",,"The Pipe Smoking world's premier source of news and information.
#PipeSmoking #PipeTobacco #News",6239,1193,,1082,en,11,editor@briarreport.com,4883,"['freemembership', 'cigar', 'cigars', 'cigarsocialmedia']"
1429,"50 THOUSAND PLUS VIEW'S (Ceo) PHARAOH 808 MAFIA 
#NOKAP #PHARAOH808MAFIA #THEPHARAOHSOFHIPHOP #ATLANTA #LOSANGELES… https://t.co/1ffojiuKPB",Tue Oct 16 11:13:24 +0000 2018,34135999,True,False,0,,,,"[{'text': 'NOKAP', 'indices': [49, 55]}, {'text': 'PHARAOH808MAFIA', 'indices': [56, 72]}, {'text': 'THEPHARAOHSOFHIPHOP', 'indices': [73, 93]}, {'text': 'ATLANTA', 'indices': [94, 102]}, {'text': 'LOSANGELES', 'indices': [103, 114]}]",[],,"808 MAFIA / BSM / 2COLD EMPIRE RECORDS & FILMS  *** CAPP1 808 MAFIA ,  SIZZLE 808 MAFIA  aka SOUTHSIDE THE PRODUCER http://t.co/VvRgBEXERN",5,2516,,1806,en,11,"ATL , LA , LAS VEGAS",13257,"['NOKAP', 'PHARAOH808MAFIA', 'THEPHARAOHSOFHIPHOP', 'ATLANTA', 'LOSANGELES']"
1483,RT @AjSmith4_: 100 dollar autograph is an Atlanta classic❤️,Tue Oct 16 11:13:17 +0000 2018,375829264,False,False,6,323358416.0,100 dollar autograph is an Atlanta classic❤️,False,[],"[{'screen_name': 'AjSmith4_', 'name': 'Ajizzle🐍', 'id': 323358416, 'id_str': '323358416', 'indices': [3, 13]}]",,#LongLivePops🕊#HighDemandForever❤️🕊 #LongLiveRodG❤️ #LongLiveRichieRich🕊💙,26297,2102,,1627,en,10,"Georgia, USA",64455,[]
1538,The dogs face though lol https://t.co/9wMKEQAPDe,Tue Oct 16 11:13:14 +0000 2018,21737476,False,False,0,,,,[],[],,Billboard/Platinum SINGER SONGWRITER/PRODUCER/ACTOR/DJ debut mixtape out now! link in Bio! TV producer Instagram influencer 200k,163,1006,,2155,en,51,LOS ANGELES AND TORONTO,11723,[]
1594,"🚨Beats &amp; Baddies Edition OCT 18TH!!!🚨 
•
💎💎TRENDSETTER THURSDA¥$💎💎
•
ATL’s ELITE THURSDAY NIGHT EXPERIENCE! vlive.a… https://t.co/ZLCJC4UhCf",Tue Oct 16 11:13:08 +0000 2018,41242907,True,False,0,,,,[],[],,I fell asleep on a plane and never woke up and now I'm living a dream #Money. #iDoWhatiWant... Istagram : jayham954,22,561,,532,en,2,954✈️407,21030,[]
1651,"RT @laurynjewel: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:12:54 +0000 2018,34824993,False,False,123,1.0240046151116964e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/YZgDZGDHMV",True,[],"[{'screen_name': 'laurynjewel', 'name': 'Lauryn Jewel', 'id': 1024004615111696384, 'id_str': '1024004615111696384', 'indices': [3, 15]}]",,"Save our democracy for everyone. #TheResistance #EqualityForAll #WomensMarch #ImpeachTrumpPence AZ born and NY based. AZ Cardinals, D-Backs, Suns, NAU.",38401,2157,,3101,en,10,U.S.A.,10493,[]
1709,"RT @SECNetwork: “I’m picking @UKFootball to win the SEC East now … The Kentucky Wildcats will be in Atlanta.”

- @PeterBurnsESPN  #SECThisM…",Tue Oct 16 11:12:53 +0000 2018,775826828443418624,False,False,830,42258864.0,"“I’m picking @UKFootball to win the SEC East now … The Kentucky Wildcats will be in Atlanta.”

- @PeterBurnsESPN… https://t.co/LBTzLbC8LA",True,[],"[{'screen_name': 'SECNetwork', 'name': 'SEC Network', 'id': 42258864, 'id_str': '42258864', 'indices': [3, 14]}, {'screen_name': 'UKFootball', 'name': 'Kentucky Football', 'id': 360022514, 'id_str': '360022514', 'indices': [29, 40]}, {'screen_name': 'PeterBurnsESPN', 'name': 'Peter Burns', 'id': 21926735, 'id_str': '21926735', 'indices': [113, 128]}]",,stingray allstars peach🍑,2881,375,,308,en,3,ga,5104,[]
1768,#MorningGlory discussed this story. Atlanta agrees to $1.2M settlement with former fire chief. https://t.co/THpTTQOd6T,Tue Oct 16 11:12:50 +0000 2018,4890263260,False,False,0,,,,"[{'text': 'MorningGlory', 'indices': [0, 13]}]",[],,"Creator of Authentically Free at Last, Host of #MorningGlory radio show, Editor African American #Catholic Youth Bible, I'm a straight no chaser kind of lady",8291,4259,,260,en,81,,23606,['MorningGlory']
1828,"RT @TNWRAITHCHASERS: HERE WE COME ATLANTA‼️
Just a few weeks away &amp; Just a few tickets left...
Join us along with Chip Coffey - Psychic and…",Tue Oct 16 11:12:49 +0000 2018,4702955718,False,False,3,140622610.0,"HERE WE COME ATLANTA‼️
Just a few weeks away &amp; Just a few tickets left...
Join us along with Chip Coffey - Psychic… https://t.co/uLX0eSKHBy",True,[],"[{'screen_name': 'TNWRAITHCHASERS', 'name': 'TWC', 'id': 140622610, 'id_str': '140622610', 'indices': [3, 19]}]",,"Ghost Adventures, TWD, Grey's Anatomy, American Horror Story, Scrubs, Photography, singing and writing are my hobbies.",7367,1425,,1802,en,6,"Milford, CT",3283,[]
1889,RT @AP: Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a woman resembling…,Tue Oct 16 11:12:43 +0000 2018,262710048,False,False,199,51241574.0,Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a… https://t.co/8OrMoGfmv2,True,[],"[{'screen_name': 'AP', 'name': 'The Associated Press', 'id': 51241574, 'id_str': '51241574', 'indices': [3, 6]}]",,The GOP is no longer the Grand Old Party.  I will vote Democrat until they get their moral compass back.,8008,758,,1522,en,2,,14612,[]
1951,"RT @laurynjewel: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:12:35 +0000 2018,68470783,False,False,123,1.0240046151116964e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/YZgDZGDHMV",True,[],"[{'screen_name': 'laurynjewel', 'name': 'Lauryn Jewel', 'id': 1024004615111696384, 'id_str': '1024004615111696384', 'indices': [3, 15]}]",,"Patriarchy ain't gonna smash itself.

Love my creator, my family and my community. #onedayatatime",50769,1100,,1708,en,12,The Garden State,24730,[]
2014,RT @MagWildwood1: @grae4763 @jeff_atl @RealJamesWoods @therealroseanne @donlemon And @JoyAnnReid and @JoyVBehar and @kaitlancollins and @sa…,Tue Oct 16 11:12:28 +0000 2018,22654425,False,False,2,45140345.0,@grae4763 @jeff_atl @RealJamesWoods @therealroseanne @donlemon And @JoyAnnReid and @JoyVBehar and @kaitlancollins and @sarahjeong,False,[],"[{'screen_name': 'MagWildwood1', 'name': 'Mag Wildwood', 'id': 45140345, 'id_str': '45140345', 'indices': [3, 16]}, {'screen_name': 'grae4763', 'name': 'Julie W.', 'id': 172375333, 'id_str': '172375333', 'indices': [18, 27]}, {'screen_name': 'jeff_atl', 'name': 'Jeff C', 'id': 18456360, 'id_str': '18456360', 'indices': [28, 37]}, {'screen_name': 'RealJamesWoods', 'name': 'James Woods', 'id': 78523300, 'id_str': '78523300', 'indices': [38, 53]}, {'screen_name': 'therealroseanne', 'name': 'Roseanne Barr', 'id': 273542042, 'id_str': '273542042', 'indices': [54, 70]}, {'screen_name': 'donlemon', 'name': 'Don Lemon', 'id': 16051471, 'id_str': '16051471', 'indices': [71, 80]}, {'screen_name': 'JoyAnnReid', 'name': 'Joy Reid', 'id': 49698134, 'id_str': '49698134', 'indices': [85, 96]}, {'screen_name': 'JoyVBehar', 'name': 'Joy Behar', 'id': 32004130, 'id_str': '32004130', 'indices': [101, 111]}, {'screen_name': 'kaitlancollins', 'name': 'Kaitlan Collins', 'id': 180107694, 'id_str': '180107694', 'indices': [116, 131]}]",,,55780,824,,310,en,10,,32469,[]
2078,"RT @grae4763: @jeff_atl @RealJamesWoods @therealroseanne And yet, @donlemon still has a job. Unbelievable. Like an episode of The Twilight…",Tue Oct 16 11:12:22 +0000 2018,22654425,False,False,7,172375333.0,"@jeff_atl @RealJamesWoods @therealroseanne And yet, @donlemon still has a job. Unbelievable. Like an episode of The Twilight Zone.",False,[],"[{'screen_name': 'grae4763', 'name': 'Julie W.', 'id': 172375333, 'id_str': '172375333', 'indices': [3, 12]}, {'screen_name': 'jeff_atl', 'name': 'Jeff C', 'id': 18456360, 'id_str': '18456360', 'indices': [14, 23]}, {'screen_name': 'RealJamesWoods', 'name': 'James Woods', 'id': 78523300, 'id_str': '78523300', 'indices': [24, 39]}, {'screen_name': 'therealroseanne', 'name': 'Roseanne Barr', 'id': 273542042, 'id_str': '273542042', 'indices': [40, 56]}, {'screen_name': 'donlemon', 'name': 'Don Lemon', 'id': 16051471, 'id_str': '16051471', 'indices': [66, 75]}]",,,55780,824,,310,en,10,,32469,[]
2143,The Impact of Rising Rates on Metro Atlanta Housing - https://t.co/lrTEf7YYiX,Tue Oct 16 11:12:21 +0000 2018,26364394,False,False,0,,,,[],[],,REAL ESTATE EXPERT in Georgia including metro Atlanta. 1-800-301-6552 Georgia's Home Buying Agents,3,200,,56,en,16,Atlanta North Metro Georgia,7610,[]
2209,"RT @LWVGA: @AAAJ_Atlanta is providing translators for Korean, Chinese, Vietnamese, Spanish, and Hindi speaking voters in Clayton, Cobb, DeK…",Tue Oct 16 11:12:19 +0000 2018,706049323,False,False,31,103052183.0,"@AAAJ_Atlanta is providing translators for Korean, Chinese, Vietnamese, Spanish, and Hindi speaking voters in Clayt… https://t.co/PohUqR9g7t",True,[],"[{'screen_name': 'LWVGA', 'name': 'LWV of Georgia', 'id': 103052183, 'id_str': '103052183', 'indices': [3, 9]}, {'screen_name': 'AAAJ_Atlanta', 'name': 'AdvancingJusticeATL', 'id': 179191506, 'id_str': '179191506', 'indices': [11, 24]}]",,Political junkie. Patriot. Optimist. Nerd. Chocolate lover.,182875,1053,,1038,en,15,,149088,[]
2276,"RT @realAllyMaine: ITS NOT AN ILLUSION!!!!!! ALLY TO HEADLINE SUPER BOWL HALFTIME SHOW #ALLYSuperBowl 🙌🏼❤️🏈
SEE YOU IN ATLANTA, ALLYGATORS!…",Tue Oct 16 11:12:18 +0000 2018,901370157657985025,False,False,352,1.0490271858252022e+18,"ITS NOT AN ILLUSION!!!!!! ALLY TO HEADLINE SUPER BOWL HALFTIME SHOW #ALLYSuperBowl 🙌🏼❤️🏈
SEE YOU IN ATLANTA, ALLYGA… https://t.co/hKGgDlpJjz",True,"[{'text': 'ALLYSuperBowl', 'indices': [87, 101]}]","[{'screen_name': 'realAllyMaine', 'name': 'Ally Maine', 'id': 1049027185825202177, 'id_str': '1049027185825202177', 'indices': [3, 17]}]",,"Little Monster, Katycat, Animal and AZALEAN! BICH! bye☠",41311,208,,114,da,0,I Wish to live with Ally ,10098,['ALLYSuperBowl']
2344,"RT @laurynjewel: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:12:18 +0000 2018,968225030986493952,False,False,123,1.0240046151116964e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/YZgDZGDHMV",True,[],"[{'screen_name': 'laurynjewel', 'name': 'Lauryn Jewel', 'id': 1024004615111696384, 'id_str': '1024004615111696384', 'indices': [3, 15]}]",,"Democrat, Army vet, English teacher running for Texas State Rep District 57! #GunSense #LegalizeIt No website, No FB, Just Twitter 🙂 RT isn't endorsement",13318,7941,,8720,en,17,"Lufkin, TX",10284,[]
2413,Yes!!!  Control your budget! #HomeDepot @HomeDepot #DIY #retailproblems #officelife #Budget #Taxes #Saveenergy… https://t.co/WtNskTwBMN,Tue Oct 16 11:12:03 +0000 2018,2771196403,True,False,0,,,,"[{'text': 'HomeDepot', 'indices': [29, 39]}, {'text': 'DIY', 'indices': [51, 55]}, {'text': 'retailproblems', 'indices': [56, 71]}, {'text': 'officelife', 'indices': [72, 83]}, {'text': 'Budget', 'indices': [84, 91]}, {'text': 'Taxes', 'indices': [92, 98]}, {'text': 'Saveenergy', 'indices': [99, 110]}]","[{'screen_name': 'HomeDepot', 'name': 'The Home Depot', 'id': 14791918, 'id_str': '14791918', 'indices': [40, 50]}]",,KEYLESS Thermostat Guard! Combo Lock!,18237,1466,,951,en,118,"Nashville, TN",5550,"['HomeDepot', 'DIY', 'retailproblems', 'officelife', 'Budget', 'Taxes', 'Saveenergy']"
2483,Atl Business Chronicle: Atlanta City Council approves police raises https://t.co/rsUkGUyYvM,Tue Oct 16 11:12:02 +0000 2018,189689466,False,False,0,,,,[],[],,Atlanta News on Twitter,619,6133,,899,en,356,"Atlanta, GA",738550,[]
2554,"For fishing or boating in metro Atlanta, great options include Lake Lanier, Lake Clara Meer, Lake Allatoona, Bull S… https://t.co/XCfjszHGNj",Tue Oct 16 11:12:02 +0000 2018,4170491,True,False,0,,,,[],[],,Atlanta's best source for news. You can reach our customer service team here: @AJCassist,420,1043541,,56614,en,4960,"Atlanta, GA",227910,[]
2626,RT @anjalienjeti: We need more media coverage on this please!!! #GwinnettCounty is a minority majority metro Atlanta county that’s rejectin…,Tue Oct 16 11:12:01 +0000 2018,820705114755399682,False,False,2643,54658019.0,We need more media coverage on this please!!! #GwinnettCounty is a minority majority metro Atlanta county that’s re… https://t.co/ucNCszItAj,True,"[{'text': 'GwinnettCounty', 'indices': [64, 79]}]","[{'screen_name': 'anjalienjeti', 'name': 'Anjali Enjeti', 'id': 54658019, 'id_str': '54658019', 'indices': [3, 16]}]",,"Dutch with New York state of mind | Audio-videoproducer | “If this is what the right is, I’m proud to be left....” |",13765,73,,69,nl,0,,1699,['GwinnettCounty']
2699,RT @jobmote: Telecommute UX and Graphic Lead Designer - Atlanta https://t.co/5xg9CIflEn #remotejobs #techjobs #remote,Tue Oct 16 11:11:57 +0000 2018,437177092,False,False,1,942052344.0,Telecommute UX and Graphic Lead Designer - Atlanta https://t.co/5xg9CIflEn #remotejobs #techjobs #remote,False,"[{'text': 'remotejobs', 'indices': [88, 99]}, {'text': 'techjobs', 'indices': [100, 109]}, {'text': 'remote', 'indices': [110, 117]}]","[{'screen_name': 'jobmote', 'name': 'Jobmote', 'id': 942052344, 'id_str': '942052344', 'indices': [3, 11]}]",,"Akun ini merupakan bot yang membuat kamu mudah untuk mencari pekerjaan, semoga bermanfaat",0,47,,0,en,1,Indonesia,4318,"['remotejobs', 'techjobs', 'remote']"
2773,RT @KTVU: Officials find roasted pig in luggage at Atlanta airport https://t.co/XWwZrOU5yE,Tue Oct 16 11:11:56 +0000 2018,34126592,False,False,42,15652540.0,Officials find roasted pig in luggage at Atlanta airport https://t.co/XWwZrOU5yE,False,[],"[{'screen_name': 'KTVU', 'name': 'KTVU', 'id': 15652540, 'id_str': '15652540', 'indices': [3, 8]}]",,"Anchor/ Reporter @foxla ---South Carolina native, @BUalumni , New Yorker, proud Californian #Veteran INSTAGRAM/ Facebook BobbyDtv 🇺🇸",18772,23463,,783,en,233,Always on the move,23964,[]
2848,Good mf morning people of Atlanta,Tue Oct 16 11:11:56 +0000 2018,433068187,False,False,0,,,,[],[],,2 sides of the same coin ~ Georgia State University,6173,489,,332,en,2, ,13402,[]
2924,RT @Distinctboxes: Amazing Dog Sculpture at Atlanta Botanical Garden https://t.co/Ra8HTE1Xtr,Tue Oct 16 11:11:49 +0000 2018,855488832329965568,False,False,64,2682105606.0,Amazing Dog Sculpture at Atlanta Botanical Garden https://t.co/Ra8HTE1Xtr,False,[],"[{'screen_name': 'Distinctboxes', 'name': 'John Evans', 'id': 2682105606, 'id_str': '2682105606', 'indices': [3, 17]}]",,"Counting down the days to leaving the EU.
 No thank you to a Corbyn Government.
Antisemitism is racism.",222102,2329,,2452,en,14,In a caravan somewhere UK ,133832,[]
